Date,BTC-USD,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-10-10,0.004140492630484882,0.000314635257194551,-0.0028690066294609906,-0.004303356181815987,0.00028683234107562683,6.248750463822006e-05,0.0004017899380230894,0.0008761467421971592,0.0020999427274830396,0.0029687837646812376,0.0008766104180650824,0.0015869416206626408
2015-10-11,0.008610272834936872,0.00031453629298705543,-0.0028772615118128897,-0.004321955093987029,0.0002867500918755095,6.24836001936746e-05,0.0004016285677057585,0.0008753797810536756,0.002095542208861545,0.002959996176089996,0.0008758426452777357,0.0015844272271507975
2015-10-12,-0.007051221910595595,0.00031443739101577606,-0.0028855640341484134,-0.004340715471330081,0.00028666788983189306,6.247969623740524e-05,0.000401467326958338,0.0008746141615005865,0.002091160094617628,0.002951260456424354,0.0008750762162095249,0.0015819207887821651
2015-10-13,0.01712132083434792,-0.006302362503317616,-0.003884218804697692,-0.01043346663441691,-0.007738363584682051,-0.01067600376086597,-0.002167053564372967,-0.006049444173241936,-0.006260388808599804,-0.002263575079070934,-0.012532916346435719,-0.005378635013671973
2015-10-14,0.009943580371429173,-0.00479412797999712,0.00802773224383202,0.008613011544050808,-0.008232159026445696,-0.010791470169631667,-0.0019306600057483747,-0.011564313253175085,0.0,-0.00022660845151045717,-0.001918276589831014,-0.010171282324615172
2015-10-15,0.009250439208903893,0.015355037850510289,0.002730397475997348,0.017962483357839787,0.022717055471005,0.010909196437562274,0.01281430287726959,0.009031043964522922,-0.002983903779317121,0.014748886056851651,0.022327327250302398,0.013007279181099118
2015-10-16,0.03361505373815121,0.004546530276707594,0.0004537564720168419,0.0013015826061233415,0.0059805859497272795,-0.00511186280053888,0.001909613535172161,0.009560541232271236,0.01902207781064469,0.0013420749983086289,0.008967496774910044,0.005264786336373506
2015-10-17,0.029562356021361813,0.00016392972721113175,-0.0023436628915969315,-0.006596219785244495,-0.0002831569433792147,0.00044403147904192863,0.0012707172958221769,0.0014775592182418862,0.0038944444439565906,0.00022328146122352344,0.0011945854044599358,0.0015754599759101318
2015-10-18,-0.03324345547730956,0.00016390285865997,-0.0023491685507556204,-0.006640018808684589,-0.00028323714394318245,0.00044383440259587736,0.001269104622627859,0.001475379258018883,0.0038793365831542026,0.000223231617741515,0.001193160072851862,0.0015729818060319367
2015-10-19,0.006856695232925425,0.0001638759989155414,-0.0023547001382667743,-0.006684403372804959,-0.00028331738995146516,0.0004436375010106186,0.0012674960375476108,0.0014732057208555194,0.0038643454863389604,0.00022318179650815395,0.001191738138487608,0.0015705114201418624
2015-10-20,0.022874541953110006,-0.001278857990380744,0.001598987570991639,0.0027993328811017903,0.0059500856039402805,0.006651438018801414,-0.0026109012704270684,-0.0006015796685049368,0.0009679435629801336,0.003347449631796895,-0.015712167092579166,-0.0012718882496252082
2015-10-21,-0.011842105859227958,-0.006203153292557495,-0.008894559895169962,-0.012343785293349785,-0.007181918877533722,0.00018891349391592094,-0.0076153337292123036,0.00020048069393907575,0.0008054783626749717,-0.002001605122536332,-0.008997426616596527,-0.0044550019763760496
2015-10-22,0.02910935805375714,0.01689339336437934,0.02738177045192125,0.01800298035153558,0.01616987758698829,0.027934692242095993,0.02254181460374638,0.019867691278049993,0.012654718621784244,0.011589066559037464,-0.0060040960230467455,0.013169625336091118
2015-10-23,0.009024760150864397,0.010962031147208506,0.008287126395281508,-0.0023384151528833552,0.010888022082963245,0.0036723831670166796,0.02790837969808968,-0.0015740499071598135,-0.012019543360869522,-0.017625048250408337,0.021361373630651714,0.004921479931921713
2015-10-24,0.018654842966854712,-0.0008192898153965844,-0.002739671461411519,-0.008154943506985868,-0.0013808292213166595,-0.000731649961880132,-0.0012929718368890342,-0.0006569044573795368,0.0004290931877777293,-0.0011961314581157012,0.001298220444325926,0.00234427427795203
2015-10-25,0.00719322656973409,-0.0008199616015857059,-0.0027471978810451603,-0.008221993398666583,-0.001382738547107909,-0.0007321856654941561,-0.00129464577741778,-0.0006573362645015957,0.0004289091457849725,-0.0011975639019720097,0.0012965372531570374,0.0023387915091754863
2015-10-26,0.005710642833521851,-0.000820634490356742,-0.0027547657677249315,-0.008290154998336963,-0.0013846531604072565,-0.000732722154152432,-0.0012963240578857116,-0.0006577686396822546,0.00042872526159931645,-0.0011989997808280473,0.0012948584209766523,0.0023333343266642714
2015-10-27,0.02975116352951379,-0.0019320595128066165,-0.004255215002153534,-0.012013902439276247,-0.005823913713434381,-0.011001236176751972,-0.005725922886783641,0.0013822134942698128,0.00025728058657548125,-0.003601317321162756,0.01839105252837636,-0.004738732119194067
2015-10-28,0.03686337528027095,0.011374614367447133,0.01506960397214785,0.022191825364128892,0.02343069737987813,0.007971695856619831,0.014973627998093653,-0.005719068237742042,-0.0036311758044499376,-0.010616711506621246,0.008323683372281732,0.009522482551752587
2015-10-29,0.030323221752396767,-0.000574433169622357,0.001994669360994905,0.00505550715824854,-0.0012261639309512073,-0.000551475236157839,-0.0027238794141734024,0.000397177531246351,0.004547550130694189,-0.005707793822457785,0.004477684109274183,0.0028547279231767586
2015-10-30,0.0451163854851635,-0.004309730595360439,0.0013265471676076057,0.006509925977912889,-0.014326368452406424,-0.001288466135277333,-0.006599648005772285,-0.011102341094337498,-0.0062929345438406115,0.004592520291846647,-0.006268942831529234,0.0021038907911545834
2015-10-31,-0.042220718328576656,0.003943579629174909,0.002061357070155534,0.007790753055975097,0.004567901598117707,0.003869655904600089,0.0029781614255364186,0.002004757301620863,0.0,0.00038093039015740793,0.007102351613593516,0.0015232094638575333
