Date,BTC-USD,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2023-01-21,22777.625,383.1967061360677,78.54752858479817,82.47648366292317,33.93380610148112,95.20542399088542,129.69491577148438,67.58933003743489,35.7794443766276,63.60969670613607,128.09967549641928,136.45380655924478
2023-01-22,22720.416015625,384.7231852213542,78.63284556070964,82.51292673746745,34.064492543538414,95.55041249593098,130.6717071533203,67.66060892740886,35.81286366780599,63.61581675211588,128.24618784586588,137.1602986653646
2023-01-23,22934.431640625,386.2496643066406,78.7181625366211,82.54936981201172,34.1951789855957,95.89540100097656,131.64849853515625,67.73188781738281,35.846282958984375,63.6219367980957,128.3927001953125,137.86679077148438
2023-01-24,22636.46875,385.8351135253906,78.76555633544922,82.23046875,34.214298248291016,96.52786254882812,131.5896759033203,68.01079559326172,36.001220703125,63.9434928894043,127.54229736328125,137.71055603027344
2023-01-25,23117.859375,385.9797668457031,78.92668151855469,82.23957824707031,34.482051849365234,95.99121856689453,131.31527709960938,68.17816162109375,36.03768539428711,63.079898834228516,127.58052825927734,138.41378784179688
2023-01-26,23032.77734375,390.2217712402344,79.3058090209961,84.83633422851562,34.663734436035156,96.51826477050781,133.4125518798828,67.9364242553711,36.447818756103516,63.29121398925781,127.81939697265625,141.24632263183594
2023-01-27,23078.728515625,391.118408203125,79.04989624023438,83.12340545654297,34.663734436035156,96.92076110839844,133.97116088867188,67.74118041992188,36.77592468261719,63.29121398925781,126.94988250732422,144.45004272460938
2023-01-28,23031.08984375,389.48265584309894,78.86980692545573,82.48863983154297,34.6063601175944,96.60452779134114,133.1185302734375,67.76907348632812,36.627062479654946,63.19628016153971,126.56768035888672,143.62958272298178
2023-01-29,23774.56640625,387.84690348307294,78.68971761067708,81.85387420654297,34.54898579915365,96.28829447428386,132.26589965820312,67.79696655273438,36.47820027669271,63.10134633382162,126.18547821044922,142.80912272135416
2023-01-30,22840.138671875,386.2111511230469,78.50962829589844,81.21910858154297,34.49161148071289,95.97206115722656,131.41326904296875,67.82485961914062,36.32933807373047,63.006412506103516,125.80327606201172,141.98866271972656
2023-01-31,23139.283203125,391.8897399902344,80.23469543457031,81.93891143798828,34.96017074584961,97.60113525390625,133.24594116210938,68.55934143066406,36.99467086791992,63.47495651245117,127.4276123046875,145.2412109375
2023-02-01,23723.76953125,396.0546569824219,80.76549530029297,80.32618713378906,34.96017074584961,98.31025695800781,136.38204956054688,69.10790252685547,37.268096923828125,63.585201263427734,128.0296173095703,147.99562072753906
2023-02-02,23471.87109375,401.8200378417969,80.50956726074219,78.49479675292969,35.05580139160156,99.07689666748047,140.106201171875,68.51287841796875,38.124839782714844,63.72300720214844,127.16008758544922,152.5277099609375
2023-02-03,23449.322265625,397.54901123046875,79.05938720703125,78.3216781616211,34.98885726928711,98.55941772460938,138.93995666503906,68.24324798583984,37.33189392089844,62.39085006713867,126.78744506835938,147.82957458496094
2023-02-04,23331.84765625,396.73915608723956,78.76870981852214,78.20322926839192,34.985669453938804,98.47955830891927,138.37479654947916,68.2711410522461,37.25290552775065,62.56847127278646,126.55174255371094,147.75794982910156
