Date,BTC-USD,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,VIX,BTC-USD_vol_20d,SPY_vol_20d,XLB_vol_20d,XLE_vol_20d,XLF_vol_20d,XLI_vol_20d,XLK_vol_20d,XLP_vol_20d,XLRE_vol_20d,XLU_vol_20d,XLV_vol_20d,XLY_vol_20d,volatility_regime
2015-10-29,0.030323221752396767,-0.000574433169622357,0.001994669360994905,0.00505550715824854,-0.0012261639309512073,-0.000551475236157839,-0.0027238794141734024,0.000397177531246351,0.004547550130694189,-0.005707793822457785,0.004477684109274183,0.0028547279231767586,14.609999656677246,0.27432677620018026,0.10505534413978643,0.1297996426834546,0.164211129892634,0.14604320943784155,0.1354669089425484,0.147111903161566,0.10078007499093242,0.10012764158469237,0.1075667821907579,0.15791013467570103,0.09098670727423348,0
2015-10-30,0.0451163854851635,-0.004309730595360439,0.0013265471676076057,0.006509925977912889,-0.014326368452406424,-0.001288466135277333,-0.006599648005772285,-0.011102341094337498,-0.0062929345438406115,0.004592520291846647,-0.006268942831529234,0.0021038907911545834,15.069999694824219,0.29491194401294624,0.10721262841496182,0.12889380429372885,0.16575047661618586,0.15777396539029653,0.13566584561325248,0.15075875807584188,0.10956300515675102,0.10396226393316486,0.10836326242698963,0.1608573904602426,0.0909770475198394,0
2015-11-02,0.10987888563872117,0.003912719388226904,0.00205289357677807,0.007671223834905483,0.004526547946916315,0.003839937431489915,0.002960527567534621,0.001996751298131816,0.0,0.00038064039516894077,0.007002877812530395,0.001518583223183212,14.149999618530273,0.4939922755004742,0.10308644089459296,0.1248671657104797,0.1648317549306781,0.1537314514678627,0.1290610934441194,0.1491336728789228,0.10713317615291713,0.10051240242128795,0.10692570650428605,0.1526772421039955,0.08678264929235305,0
2015-11-03,0.11691385221725148,0.0028996281825939274,0.003950762610039238,0.02556720322378636,0.0016387375573945206,0.0007280906040207924,0.00522258998786973,-0.004782871637996844,0.012924009432375483,0.002968345892389701,-0.0035688690873986184,0.0038111663783273464,14.539999961853027,0.6018176032116055,0.0994258290526748,0.12318381109111978,0.1840992905747766,0.14818716932330525,0.12012923860892857,0.14809852401834472,0.09905451088527382,0.10843118320029584,0.1075531901925041,0.15358947832361997,0.07320951452444428,0
2015-11-04,0.020192496229717305,-0.0030333935162486503,-0.006558658479795754,-0.008963667830203081,-0.002862605825117437,-0.0027301821545744343,0.0011296952687418482,-0.004204863544077342,-0.004146678752242616,0.005235418364272659,-0.004407804589481312,-0.006491133063847965,15.510000228881836,0.5993977632190858,0.08977588539769689,0.12683836099696544,0.17896948405902058,0.13060593568411744,0.11724801638824489,0.14404805886959857,0.09638094738689246,0.10920994112772302,0.09461206929380009,0.13896747514797025,0.07061617318629435,0
2015-11-05,-0.06125182558391995,-0.0009980696147332546,-0.005062001658146187,-0.008479369620037147,0.004101592448648939,0.001278134292377331,-0.0029333326115360547,-0.00020134408943961457,-0.003843628553570455,-0.00860511136955111,-0.0031819799425428785,0.0035749437160752517,15.050000190734863,0.6715793236503863,0.08981289764852265,0.12897067559763584,0.18224699804722388,0.13002762935387746,0.11436844151479714,0.14549131660509954,0.09037773654799297,0.09016506079551691,0.09839879330357021,0.13787661355347386,0.06984623578144922,0
2015-11-06,-0.03075936204981211,-0.0005233779643870617,0.00265440498284808,-0.005131048867816457,0.01021226906702899,0.0,0.0033943482211520326,-0.010860950867956798,-0.03697751908229541,-0.03494742947236462,-0.004163673608061247,0.00012278790888431423,14.329999923706055,0.6942562042995665,0.08999980039587983,0.1283236599269559,0.18153868451428237,0.13292031724024653,0.11446852972005794,0.14542538691062085,0.09817028231457783,0.16055255083779654,0.15499715902935962,0.13941566116070886,0.07014339355654245,0
2015-11-09,0.01845090323505061,-0.0031300626156705036,-0.002289957567185308,-0.0033170034349602195,-0.0036660460888229274,-0.0025651548466361085,-0.003253648209584181,-0.0022466685907555073,-0.0026855125079068287,0.000866358458205152,-0.002568251178281078,-0.00462773601932176,16.520000457763672,0.695510085668712,0.09373024346390735,0.1289862710201853,0.17915554492610955,0.13649681912608272,0.11613754456062704,0.14856087630280293,0.09796598293889831,0.1577818601035908,0.15431267579154262,0.1271123686472716,0.0793839400930259,1
2015-11-10,-0.11423324118170564,0.0023067327072066046,-0.007330236788483879,0.002170246288137001,0.0044974032436175815,-0.00018372851603321028,-0.00660425380450036,0.0026611602695467695,0.01077109636275364,0.008970705256072131,0.006741204581523386,0.00946480148050477,15.289999961853027,0.8352120050696368,0.089558985185585,0.12744900337493617,0.17227243088075975,0.13268491886740671,0.11619637755103066,0.14771189033208743,0.09874044816467482,0.16407545269557203,0.15999716896675467,0.12176500167583776,0.08178743719796902,0
2015-11-11,-0.0764059786796728,-0.003931754351544914,0.0011185488291916013,-0.02122417567164825,-0.0032557850126759824,0.0012861681293947491,-0.0004584937889708929,-0.001428957280002141,0.0034629623043029856,0.008657418717596288,-0.00990499429726921,-0.005921577698044689,16.059999465942383,0.8905912241223255,0.07117157070204415,0.08277781412236446,0.17876072456013462,0.12326085062181875,0.06062572116257754,0.12700732370669482,0.06136160915696537,0.15653598856419895,0.15691106969756,0.12606969910083557,0.07433489341615034,0
